date;hour;temp;load
2004-01-09;8;0;19616
2004-01-09;9;0;19871
2004-01-09;10;0;19953
2004-01-09;11;1;20015
2004-01-09;12;2;19922
2004-01-09;13;4;19678
2004-01-09;14;5;19467
2004-01-09;15;6;19239
2004-01-09;16;7;19297
2004-01-09;17;6;20238
2004-01-09;18;4;21471
2004-01-09;19;3;21334
2004-01-09;20;2;20846
2004-01-09;21;1;20232
2004-01-09;22;1;19316
2004-01-09;23;0;18006
2004-01-09;24;-1;16735
2004-01-10;1;-2;15746
2004-01-10;2;-2;15199
2004-01-10;3;-3;14965
2004-01-10;4;-3;14898
2004-01-10;5;-4;14975
2004-01-10;6;-4;15399
2004-01-10;7;-4;16278
2004-01-10;8;-5;17153
2004-01-10;9;-4;18304
2004-01-10;10;-2;19070
2004-01-10;11;1;19340
2004-01-10;12;4;19218
2004-01-10;13;6;18843
2004-01-10;14;8;18373
2004-01-10;15;10;18057
2004-01-10;16;10;18074
2004-01-10;17;9;19129
2004-01-10;18;7;20588
2004-01-10;19;6;20555
2004-01-10;20;4;20068
2004-01-10;21;3;19458
2004-01-10;22;3;18692
2004-01-10;23;2;17688
2004-01-10;24;2;16623
2004-01-11;1;1;15587
2004-01-11;2;1;14965
2004-01-11;3;0;14680
2004-01-11;4;0;14571
2004-01-11;5;0;14601
2004-01-11;6;0;14880
2004-01-11;7;-1;15375
2004-01-11;8;-1;15948
2004-01-11;9;0;16925
2004-01-11;10;4;17669
2004-01-11;11;6;18057
2004-01-11;12;10;18059
2004-01-11;13;14;17898
2004-01-11;14;16;17627
2004-01-11;15;19;17446
2004-01-11;16;20;17632
2004-01-11;17;20;18774
2004-01-11;18;20;19961
2004-01-11;19;20;19859
2004-01-11;20;21;19313
2004-01-11;21;21;18592
2004-01-11;22;21;17354
2004-01-11;23;22;15931
2004-01-11;24;23;14526
2004-01-12;1;22;13678
2004-01-12;2;22;13325
2004-01-12;3;22;13178
2004-01-12;4;22;13141
2004-01-12;5;22;13471
2004-01-12;6;22;14560
2004-01-12;7;23;16594
2004-01-12;8;23;17988
2004-01-12;9;23;18476
2004-01-12;10;24;18610
2004-01-12;11;25;18685
2004-01-12;12;26;18518
2004-01-12;13;27;18317
2004-01-12;14;28;18185
2004-01-12;15;29;18046
2004-01-12;16;29;18095
2004-01-12;17;30;19057
2004-01-12;18;29;20171
2004-01-12;19;29;20071
2004-01-12;20;28;19585
2004-01-12;21;28;18829
2004-01-12;22;28;17592
2004-01-12;23;28;15866
2004-01-12;24;28;14347
2004-01-13;1;27;13373
2004-01-13;2;26;12939
2004-01-13;3;27;12711
2004-01-13;4;26;12737
2004-01-13;5;25;13043
2004-01-13;6;25;14240
2004-01-13;7;25;16573
2004-01-13;8;26;17995
2004-01-13;9;27;18234
2004-01-13;10;29;18241
2004-01-13;11;31;18258
2004-01-13;12;33;17997
2004-01-13;13;35;17729
2004-01-13;14;36;17606
2004-01-13;15;36;17546
